Número;Pergunta;Resposta
27;É necessário ter um diploma de pastor para ser presidente de uma igreja?;Não, a legislação brasileira não exige diploma de pastor ou formação em Teologia para liderar ou ser presidente de uma igreja.
28;O que é um Ministro de Confissão Religiosa?;É a pessoa que realiza cerimônias religiosas e orienta a comunidade espiritual, como pastores, padres e rabinos.
29;Preciso fazer curso de Teologia para ser pastor?;"Cursar teologia é altamente recomendável para capacitação e preparo pastoral, porém não é obrigatório para abrir ou liderar uma igreja
"
30;Igrejas podem ter lucro?;Sim, igrejas podem gerar receita e ter lucro, mas o valor deve ser destinado exclusivamente para fins religiosos ou sociais.
31;Por que as igrejas têm imunidade tributária?;A imunidade está garantida pela Constituição, por entender que as atividades religiosas têm um papel social importante.
32;Quais são os principais cuidados ao escolher alguém para um cargo da diretoria?;Ao escolher uma pessoa para a diretoria, é importante observar a sua capacidade técnica e competência administrativa, sua conduta moral elevada e sua vivência com base nos princípios bíblicos.
33;Quais cuidados devem ser tomados ao registrar uma igreja?;1 - É muito importante definir uma estrutura administrativa que seja fiel a realidade da igreja. Além disso, contar com pessoas de confiança e comprometidas também é importante. 2 - A igreja precisa escolher de maneira criteriosa o imóvel sede da igreja, visando cumprir a legislação da prefeitura e do corpo de bombeiros. 3 - Elaborar um estatuto fiel a realidade administrativa da igreja é fundamental para evitar problemas administrativos. Por isso, uma igreja nunca deve utilizar um modelo de estatuto, pois cada igreja possui a sua realidade administrativa e seus costumes. 4 - Contar com uma assessoria contábil especializada é fundamental para regularizar a igreja de maneira correta, evitando problemas administrativos e com a legislação, além de acelerar o processo de regularização e evitar custos desnecessários.
34;Como uma contabilidade especializada em igrejas pode ajudar?;Uma assessoria contábil especializada auxilia na regularização e cumprimento das exigências legais, permite que o pastor foque nas atividades espirituais, além de evitar problemas no processo de regularização
35;Igrejas podem ter máquinas de cartão de crédito e débito?;Sim, desde que estejam com o CNPJ regularizado e enviem as demonstrações financeiras à Receita Federal. Além disso, a igreja nunca deve utilizar máquina de cartão de crédito vinculada ao CPF de um membro
36;É possível usar uma máquina de cartão de crédito no nome do pastor?;Não, isso pode gerar confusão patrimonial e trazer implicações fiscais. Por isso, a igreja nunca deve utilizar máquina de cartão de crédito vinculada ao CPF de um membro
37;Quais documentos são necessários para obter uma máquina de cartão?;Em geral, os documentos necessários para solicitar uma máquina de cartão para a igreja são: Estatuto, Ata de Fundação, última ata registrada, CNPJ
38;As igrejas são obrigadas a se filiar a uma Convenção?;Não, a filiação é opcional. Não existe nenhuma obrigatoriedade legal para igrejas se filiarem a uma convenção. Além disso, as igrejas não devem utilizar o CNPJ da convenção sob o pretexto de estarem regularizadas
39;É necessário ter uma carteirinha de pastor para abrir uma igreja?;Não existe nenhuma legislação que obrigue a comprovação de ordernação pastoral ou de formação teológica. Em resumo, qualquer pessoa pode fundar uma organização religiosa
40;A igreja pode usar o CNPJ da convenção?;"Não, cada igreja deve possuir seu próprio CNPJ. Utilizar o CNPJ de outra instituição é uma prática irregular
"
41;Posso registrar uma igreja em um endereço residencial?;Depende da legislação municipal. Algumas prefeituras permitem, outras não. A validação do endereço da igreja por parte da Prefeitura faz parte do processo de regularização. Caso seu endereço não seja aceito, será necessário regularizar o endereço, atendendo as exigências legais da prefeitura ou, será necessário encontrar outro endereço para a sede da igreja
42;Posso registrar uma igreja no mesmo endereço de uma empresa?;Em regra geral, não. A menos que a empresa esteja inativa ou que o imóvel seja um espaço compartilhado, mediante a autorização da prefeitura.
43;Posso abrir uma igreja em um imóvel alugado?;Sim, não existe nenhum problema em abrir o CNPJ de uma igreja em um imóvel alugado. Porém, sempre que a igreja migrar para outro endereço, será necessário realizar um registro em cartório e atualizar o CNPJ
44;Como uma igreja pode pagar por serviços de uma pessoa física?;Utilizando o RPA (Recibo de Pagamento Autônomo) para serviços esporádicos e sem vínculo empregatício.
45;Quando uma pessoa deve ser contratada pela igreja via CLT?;"Quando há vínculo empregatício, como subordinação e continuidade.
"
46;A esposa do pastor pode ser vice-presidente da igreja?;Sim, não há impedimentos legais para que a esposa do pastor ocupe nenhum cargo, desde que os requisitos do estatuto da igreja sejam cumpridos.
47;Quantos membros são necessários para formar uma diretoria?;A quantidade de membros pode variar de acordo com cada igreja. Não existe nenhuma lei que determine a quantidade mínima de pessoas para formar uma diretoria. A maioria das pequenas igrejas possuem apenas o Presidente, Tesoureiro e Secretário
48;Quais cargos são comuns na diretoria de uma igreja?;Presidente, vice-presidente, tesoureiro e secretário.
49;É possível deduzir o dízimo no Imposto de Renda?;Não, dízimos não são dedutíveis no Imposto de Renda, pois não há previsão legal para essa dedução.
50;É necessário declarar o dízimo no Imposto de Renda?;Não, como não há dedução, não é necessário declarar.
51;Igrejas que realizam cultos online precisam de CNPJ?;Sim, se houver arrecadação de dízimos ou ofertas, é necessário ter um CNPJ e informar a Receita Federal sobre esta arrecadação. Além disso, essa regularização permite que a igreja tenha acesso a imunidade tributária.
52;É preciso ter endereço físico para abrir uma igreja online?;Sim, mesmo que não realize as atividades de maneira presencial, uma igreja online precisa de um endereço fiscal.
53;Por que o pastor presidente pode ter o seguro-desemprego negado?;Porque o Ministério do Trabalho presume que o pastor possui renda vinculada ao CNPJ da igreja, impedindo o pagamento do benefício. Nesses casos, para conseguir o benefício, o pastor precisa comprovar que não possui outra renda
54;Como o pastor deve comprovar o direito ao seguro-desemprego?;O pastor precisa demonstrar que não recebe remuneração da igreja, através de documentos como o Estatuto Social e a Declaração de Imposto de Renda.
55;Uma igreja evangélica pode ser registrada como MEI?;Não, igrejas não podem ser registradas como MEI, pois são organizações religiosas e o MEI é destinado a atividades comerciais.
56;É possível transferir o CNPJ de MEI para a igreja?;Não, cada igreja precisa ter seu próprio CNPJ, com natureza jurídica de organização religiosa.
57;Qual é o processo correto para regularizar uma igreja?;Elaborar o estatuto, ata de fundação, registrar no cartório e obter o CNPJ de organização religiosa.
58;Quais documentos precisam estar atualizados ao assumir a diretoria de uma igreja?;As atas de eleição da diretoria e o estatuto da igreja precisam estar sempre atualizados, com mandato em vigor, para evitar problemas com a Receita Federal e bancos.
59;As Igrejas são obrigadas a ter CNPJ?;Sim, qualquer igreja, independentemente de tamanho ou local, da sua quantidade de membros ou do seu volume de arrecadação, está obrigada a ter um CNPJ para operar legalmente.
60;Por que é necessário para uma Igreja ter CNPJ?;O CNPJ é necessário para garantir que a igreja atue de maneira legal, além de garantir a imunidade tributária e para o cumprimento das obrigações fiscais e contábeis.
61;Pontos de pregação também precisam de CNPJ?;Sim, pois realizam movimentações financeiras e são considerados locais de culto.
62;Quais são os principais tipos de governo eclesiástico?;Episcopal (liderança centralizada no pastor), Congregacional (decisões tomadas por assembleia de membros) e Presbiterial (governado por um conselho de líderes).
63;Como a escolha do tipo de governo eclesiástico impacta a igreja?;Ela define como as decisões administrativas e espirituais são feitas e deve estar detalhada no estatuto da igreja.
64;Uma Convenção pode conceder alvará de funcionamento para uma igreja?;Não, apenas a prefeitura pode conceder o alvará de funcionamento. As Convenções não têm esse poder. As convenções são consideradas apenas instituições de apoio espiritual às igrejas e não podem conceder nenhum tipo de licença ou autorização de funcionamento
65;É possível abrir uma igreja com o nome sujo?;Sim, desde que o CPF esteja regular junto à Receita Federal, é possível abrir uma igreja mesmo com o nome negativado no SPC/SERASA.
66;O que o nome sujo pode impactar na abertura de uma igreja?;Possuir restrição no CPF não impede a abertura do CNPJ da igreja, mas pode dificultar a abertura de contas bancárias em alguns bancos, dependendo de suas políticas internas.
67;Posso usar o estatuto de outra igreja como modelo?;Não, cada igreja possui uma estrutura e forma de governo diferentes, o que torna arriscado usar modelos de outras igrejas
68;Quais os riscos de utilizar um modelo de estatuto pronto para igreja?;Um modelo de estatuto de outra igreja pode incluir cláusulas incompatíveis com a realidade da sua igreja, o que pode gerar problemas legais e administrativos.
69;Igrejas precisam de alvará de funcionamento?;Sim, todas as igrejas precisam de autorização de funcionamento para garantir que o local atenda às normas municipais e possa receber pessoas de forma segura.
70;Quais documentos são necessários para obter o alvará para uma igreja?;Em geral, são necessários a Planta do imóvel, IPTU pago, contrato de locação ou escritura, documentos dos responsáveis pela igreja, estatuto social, ata de fundação e CNPJ.
71;Quais são os riscos de registrar uma igreja incorretamente?;A igreja pode enfrentar problemas legais, perder a imunidade tributária e até ser impedida de funcionar legalmente.
72;O que deve ser feito se uma igreja foi registrada incorretamente?;Regularizar a situação imediatamente, revisando o estatuto e corrigindo o registro junto aos órgãos competentes.
73;Igrejas são obrigadas a abrir conta bancária?;Não, mas é altamente recomendável para facilitar a gestão financeira e a arrecadação de dízimos e ofertas.
74;Quais documentos são necessários para abrir uma conta bancária para a igreja?;CNPJ ativo, estatuto social, ata de fundação, documentos dos responsáveis financeiros e comprovantes de residência.
75;Qual a diferença entre isenção fiscal e imunidade tributária?;A imunidade é um direito constitucional garantido às igrejas, enquanto a isenção é concedida por leis específicas e requer o cumprimento de certas condições.
76;Quais tributos as igrejas têm imunidade?;Igrejas têm imunidade de impostos como IPTU e IPVA, desde que sejam organizações sem fins lucrativos.
77;Quais são as condições para que a igreja mantenha a imunidade tributária?;A igreja deve estar regularizada, com CNPJ ativo e demonstrar que os recursos são utilizados para fins religiosos e sociais.
78;As igrejas precisam enviar documentos para o contador mensalmente?;Sim, é necessário enviar todos os documentos relacionados às finanças e operações da igreja mensalmente para que o contador mantenha as obrigações fiscais em dia.
79;Quais documentos devem ser enviados ao contador mensalmente?;As igrejas precisam enviar mensalmente os Documentos contábeis (extratos bancários, recibos, notas fiscais) e documentos trabalhistas (guias de impostos e recibos de pagamento).
80;O que acontece se a igreja não entregar a DCTF?;A igreja pode ser multada e ter seu CNPJ bloqueado pela Receita Federal, ficando impedida de emitir certidões negativas, realizar movimentações bancárias e realizar compras.
81;Como regularizar a situação da DCTF não entregue?;Deve-se enviar a declaração o mais rápido possível para evitar a baixa do CNPJ da igreja
82;O que pode acontecer com uma igreja que nunca teve contabilidade?;A igreja pode enfrentar multas, bloqueios de CNPJ, e até mesmo perder a imunidade tributária por não cumprir com as obrigações fiscais.
83;O que é uma ata de igreja?;A ata é o documento que registra as decisões importantes tomadas em reuniões, como fundação da igreja, eleição da diretoria, entre outros.
84;Quais informações devem constar em uma ata de igreja?;Em resumo, uma ata deve conter informações sobre o local da reunião, tópicos discutidos e decisões tomadas, além da assinatura dos participantes e presidente da reunião.
85;O que deve constar no estatuto social de uma igreja evangélica?;O estatuto deve incluir o nome da igreja, endereço da sede, a finalidade da instituição, a forma de organização e administração da instituição, além das regras para nomeação da diretoria.
86;É necessário registrar o estatuto em cartório?;Sim, o estatuto deve ser registrado em cartório para formalizar a igreja legalmente. Um estatuto só possui valor legal se for registrado em cartório.
87;Por que é importante legalizar uma igreja?;A legalização de uma igreja é obrigatória e garante o cumprimento das leis fiscais e tributárias, possibilitando que a igreja usufrua de benefícios como imunidade tributária. Alem disso, uma igreja irregular não possui credibilidade. 
88;Quais são as consequências de não legalizar uma igreja?;A igreja pode sofrer penalidades legais, multas e ser fechada.
89;O que é prebenda pastoral?;Prebenda pastoral é uma remuneração oferecida a líderes religiosos, como pastores, pelo exercício de suas funções ministeriais.
90;O pagamento da prebenda pastoral é considerada um vínculo empregatício?;Não, a prebenda pastoral não caracteriza vínculo empregatício, pois a relação entre o pastor e a igreja é de natureza religiosa, e não trabalhista.
91;Igrejas podem contratar funcionários formalmente?;Sim, igrejas podem contratar funcionários seguindo as leis trabalhistas, como qualquer outra organização, com contrato CLT, registro e cumprimento de obrigações sociais.
92;Quais são as obrigações da igreja ao contratar um funcionário?;A igreja deve registrar o funcionário, recolher FGTS, INSS e seguir a legislação do eSocial.
93;Qual a diferença entre uma organização religiosa e uma associação?;Organizações religiosas têm fins exclusivamente religiosos, enquanto associações podem ter objetivos sociais, culturais ou esportivos, e não são restritas a atividades religiosas.
94;Igrejas são obrigadas a se registrar como associações?;Não, igrejas devem ser registradas como organizações religiosas e seguirem as normas específicas de organizações religiosas, diferente das associações civis.
95;Igrejas precisam declarar Imposto de Renda?;Igrejas não pagam Imposto sobre a sua Renda, que são as arrecadações de dízimos e ofertas.  Porém, as igrejas devem enviar uma serie de informações para a Receita Federal, comprovando a veracidade das suas atividades e a aplicação exclusiva dos recursos em suas atividades religiosas. Dentre essas obrigações estão Escrituração Contábil Fiscal (ECF), DCTF, DCTFWeb, entre outras.
96;Quais as informações são necessários para o envio da ECF?;Todas as informações contábeis, receitas e despesas da igrejas, validadas por um contador
97;Uma igreja evangélica é obrigada a se filiar a uma convenção?;Não, as igrejas são independentes e não são obrigadas a se filiar a nenhuma convenção, a não ser que desejem estar ligadas a uma organização maior pars obter apoio espiritual.
98;Quais os benefícios de se filiar a uma convenção?;A filiação pode oferecer apoio espiritual e teológico. Porém, uma convenção não possui o poder de autorizar ou legalizar o funcionamento de uma igreja.
99;Quantas pessoas devem compor a diretoria de uma igreja?;Embora não exista nenhuma legislação que obrigue um número mínimo de pessoas, a diretoria de uma igreja geralmente possui no mínimo três membros: presidente, secretário e tesoureiro.
100;Igrejas são obrigadas a ter um conselho fiscal?;Não. Porém, o conselho fiscal é recomendado para garantir a transparência na gestão financeira, fiscalizando as contas e o uso dos recursos da igreja.
101;Quais são as funções do conselho fiscal de uma igreja?;O conselho fiscal revisa as finanças, aprova balanços e garante que a administração siga as normas estabelecidas no estatuto.
102;O que é o regimento interno de uma igreja?;O regimento interno é um documento que define regras de conduta, organização e funcionamento interno da igreja, complementando o estatuto social.
103;Por que é importante ter um regimento interno?;Ele assegura uma gestão clara e organizada, evitando conflitos e garantindo que todos conheçam suas funções e responsabilidades.
104;Por que a Receita Federal está declarando igrejas como inaptas?;Igrejas estão sendo declaradas como inaptas por não cumprirem com suas obrigações fiscais, como a entrega da DCTF e ECF.
105;Como evitar que a igreja seja declarada como Inapta?;Contratar uma assessoria contábil mensal especializada, manter a contabilidade regularizada, enviar todas as declarações obrigatórias e corrigir eventuais pendências junto à Receita Federal.
106;O que pode acontecer com uma igreja que nunca teve contabilidade?;A igreja pode enfrentar multas, bloqueios de CNPJ, e até mesmo perder a imunidade tributária por não cumprir com as obrigações fiscais.
107;Como regularizar a contabilidade de uma igreja?;Contratar um contador especializado para organizar documentos, fazer o envio correto das declarações atrasadas e regularizar a situação junto à Receita Federal.
108;O que acontece se a igreja não entregar a DCTF?;A igreja pode ser multada e ter seu CNPJ bloqueado pela Receita Federal, ficando impedida de emitir certidões negativas, abrir e movimentar conta bancária, realizar compras, etc.
109;Como regularizar a situação da DCTF não entregue?;Deve-se enviar a declaração o mais rápido possível para evitar penalidades maiores, como a baixa do CNPJ e regularizar a situação fiscal da igreja.
110;Quanto tempo leva para abrir um CNPJ de Igreja?;Em geral, o processo pode levar entre 40 dias e 2 meses. O tempo necessário para registro de uma igreja depende do tempo que o cartório leva para analisar a documentação e realizar o registro.
111;Quanto tempo leva para registrar uma Igreja?;Em geral, o processo pode levar entre 40 dias e 2 meses. O tempo necessário para registro de uma igreja depende do tempo que o cartório leva para analisar a documentação e realizar o registro.
112;Posso abrir uma Igreja na minha casa?;Em algumas cidades é sim permitido a abertura de uma Igreja em uma residência. Porém, não podemos dar 100% de certeza de que o seu endereço será liberado pela Prefeitura. Porém, caso não seja aceito, você não perde o valor pago, pois nós aguardamos você regularizar ou encontrar outro endereço.
113;A igreja pode ter problemas ao receber doações pela internet ou whatsapp?;Se a igreja registrar todos os recebimentos em seu CNPJ, não haverá problemas. Mas se o recebimento não for registrado, é possível sim que a igreja seja multada.
114;O iptu do imovel não esta em meu nome. Existe algum problema?;Não. O fato do IPTU estar em nome de outta pessoa nao impede a abertura. 
115;A esposa do pastor pode assumir alguma cargo na diretoria, como: vice presidente, tesoureira ou secretária?;Sim, sem problemas. Nao existe nenhuma legislação que impeça a participação da esposa do pastor na diretoria.
116;Quem tem dívidas no CPF pode abrir uma igreja?;Sem problemas. Não existe nenhuma legislação que impeça a abertura de um CNPJ ou a participação na diretoria da igreja.
117;Os membros de uma diretoria podem trabalhar de carteira assinada?;Sem problemas. Pois a participação na diretoria de uma igreja não gera vínculo de emprego.
118;Posso abrir uma igreja no meu endereço residencial e depois, quando encontrar um imóvel para realizar as reuniões, realizar a alteração do endereço?;Sim, sem problemas. Pode-se realizar a alteração de endereço quantas vezes se fizerem necessárias. Porém, sempre que realizarem a mudança de endereço, será necessário registrar essa mudança em cartório e atualizar o endereço no CNPJ, o que tem custo.
119;Quais são os dados necessários para elaborar o estatuto, ata de fundação e CNPJ?;Para elaborar a documentação, precisamos das seguintes informações: a - dos membros da diretoria: dados pessoais como nome completo, CPF, RG, data de nascimento, profissão e cargo na diretoria. b - da igreja: iptu do imóvel, com número de inscrição e área construída, 3 opções de nome para a igreja, composição da diretoria.
120;O que é necessário para abrir uma filial de uma igreja?;Para a abertura de uma filial, é necessário realizar o registro de uma ata de abertura de filial em cartório. Caso a filial esteja localizada em outra cidade, se faz necessário registrar a ata na cidade sede da igreja e em seguida, registrar a mesma ata no cartório da cidade da filial.
121;Sobre um CNPJ inapto, ao realizar o pagamento da multa, o CNPJ volta a ficar ativo?;A Receita Federal reativa o CNPJ assim que reconhece o envio das declarações pendentes. A multa, geralmente deve ser paga em até 30 dias após o envio das declarações.
122;Como consigo consultar as pendências no CNPJ da igreja?;Para consultar as pendências no CNPJ, é necessário possuir um certificado digital, que da acesso completo a todas as informações e pendências do CNPJ. Sem o certificado digital, é possível apenas verificar poucas informações.
